,lon,lat,year,month,tas,tasmax,pr
0,-10.0,33.0,2001,7,,,
1,-10.0,34.0,2001,7,,,
2,-10.0,35.0,2001,7,,,
3,-10.0,36.0,2001,7,,,
4,-10.0,37.0,2001,7,,,
5,-10.0,38.0,2001,7,,,
6,-10.0,39.0,2001,7,,,
7,-10.0,40.0,2001,7,,,
8,-10.0,41.0,2001,7,,,
9,-10.0,42.0,2001,7,,,
10,-10.0,43.0,2001,7,,,
11,-10.0,44.0,2001,7,,,
12,-10.0,45.0,2001,7,,,
13,-10.0,46.0,2001,7,,,
14,-10.0,47.0,2001,7,,,
15,-10.0,48.0,2001,7,,,
16,-10.0,49.0,2001,7,,,
17,-10.0,50.0,2001,7,,,
18,-10.0,51.0,2001,7,15.900001,19.4,74.3
19,-10.0,52.0,2001,7,14.825001,18.800001,87.05
20,-9.0,33.0,2001,7,22.966667,28.7,0.0
21,-9.0,34.0,2001,7,,,
22,-9.0,35.0,2001,7,,,
23,-9.0,36.0,2001,7,,,
24,-9.0,37.0,2001,7,22.075,27.7,1.25
25,-9.0,38.0,2001,7,22.233334,27.300001,2.5333333
26,-9.0,39.0,2001,7,21.95,27.7,5.925
27,-9.0,40.0,2001,7,21.466667,27.0,17.033333
28,-9.0,41.0,2001,7,20.2,25.300001,28.400002
29,-9.0,42.0,2001,7,19.300001,23.9,67.9
30,-9.0,43.0,2001,7,18.5,23.1,89.950005
31,-9.0,44.0,2001,7,,,
32,-9.0,45.0,2001,7,,,
33,-9.0,46.0,2001,7,,,
34,-9.0,47.0,2001,7,,,
35,-9.0,48.0,2001,7,,,
36,-9.0,49.0,2001,7,,,
37,-9.0,50.0,2001,7,,,
38,-9.0,51.0,2001,7,,,
39,-9.0,52.0,2001,7,14.85,18.9,84.725006
40,-8.0,33.0,2001,7,24.05,30.9,0.0
41,-8.0,34.0,2001,7,22.9,27.7,0.0
42,-8.0,35.0,2001,7,,,
43,-8.0,36.0,2001,7,,,
44,-8.0,37.0,2001,7,22.925001,29.7,0.8
